Dataset,Optimizer,objfname,k,ExecutionTime,SSE,Purity,Entropy,HS,CS,VM,AMI,ARI,Fmeasure,TWCV,SC,Accuracy,DI,DB,STDev,Iter1,Iter2,Iter3,Iter4,Iter5,Iter6,Iter7,Iter8,Iter9,Iter10,Iter11,Iter12,Iter13,Iter14,Iter15,Iter16,Iter17,Iter18,Iter19,Iter20,Iter21,Iter22,Iter23,Iter24,Iter25,Iter26,Iter27,Iter28,Iter29,Iter30,Iter31,Iter32,Iter33,Iter34,Iter35,Iter36,Iter37,Iter38,Iter39,Iter40,Iter41,Iter42,Iter43,Iter44,Iter45,Iter46,Iter47,Iter48,Iter49,Iter50
aggregation,SSA,SSE,7,9.4,12.16,0.87,0.13,0.85,0.76,0.8,0.8,0.69,0.16,11.88,0.29,0.69,0.97,0.87,0.05,0.0,22.71,22.01,21.88,21.61,18.79,18.79,18.79,17.23,17.23,14.65,14.25,13.43,13.43,13.43,13.05,13.0,12.78,12.73,12.54,12.48,12.43,12.32,12.28,12.25,12.23,12.22,12.19,12.18,12.17,12.17,12.17,12.16,12.16,12.16,12.16,12.16,12.16,12.16,12.16,12.16,12.16,12.16,12.16,12.16,12.16,12.16,12.16,12.16,12.16
aggregation,SSA,SSE,7,9.86,12.27,0.85,0.16,0.82,0.72,0.77,0.76,0.58,0.26,12.23,0.29,0.58,0.97,0.91,0.05,0.0,22.39,18.32,18.32,18.32,18.07,16.96,16.96,15.91,15.28,15.28,13.39,13.39,13.39,13.39,12.97,12.97,12.97,12.52,12.48,12.42,12.41,12.39,12.35,12.32,12.3,12.3,12.29,12.28,12.28,12.27,12.27,12.27,12.27,12.27,12.27,12.27,12.27,12.27,12.27,12.27,12.27,12.27,12.27,12.27,12.27,12.27,12.27,12.27,12.27
aggregation,SSA,SSE,7,9.46,12.43,0.88,0.13,0.85,0.78,0.82,0.81,0.71,0.1,12.09,0.29,0.71,0.98,0.88,0.05,0.0,19.48,19.48,19.48,16.95,15.21,15.21,15.21,15.21,14.1,14.1,13.49,13.49,13.49,13.49,13.49,13.43,13.27,13.16,13.03,12.88,12.75,12.72,12.61,12.58,12.53,12.5,12.48,12.46,12.45,12.44,12.44,12.43,12.43,12.43,12.43,12.43,12.43,12.43,12.43,12.43,12.43,12.43,12.43,12.43,12.43,12.43,12.43,12.43,12.43
aggregation,GWO,SSE,7,10.3,17.38,0.84,0.21,0.76,0.69,0.72,0.72,0.56,0.19,14.71,0.33,0.56,0.98,1.05,0.06,24.54,24.54,17.61,17.61,17.61,17.61,17.61,17.61,17.61,17.61,17.61,17.61,17.38,17.38,17.38,17.38,17.38,17.38,17.38,17.38,17.38,17.38,17.38,17.38,17.38,17.38,17.38,17.38,17.38,17.38,17.38,17.38,17.38,17.38,17.38,17.38,17.38,17.38,17.38,17.38,17.38,17.38,17.38,17.38,17.38,17.38,17.38,17.38,17.38,17.38
aggregation,GWO,SSE,7,9.98,12.87,0.87,0.17,0.81,0.72,0.76,0.76,0.61,0.27,12.62,0.29,0.61,0.99,0.82,0.05,25.33,25.33,25.33,25.33,22.05,20.55,20.55,20.55,18.66,18.66,18.66,18.66,18.66,18.66,18.66,18.66,17.78,17.78,17.78,16.31,16.31,16.31,16.31,16.31,16.31,16.31,16.08,16.08,16.08,16.08,15.71,15.71,15.71,15.71,15.48,14.8,14.43,13.94,13.94,13.79,13.71,13.48,13.42,13.13,13.13,13.13,13.0,12.94,12.92,12.87
aggregation,GWO,SSE,7,10.25,11.99,0.87,0.13,0.85,0.76,0.8,0.8,0.68,0.0,11.3,0.27,0.68,0.97,0.78,0.05,23.12,23.12,23.12,23.12,23.12,22.4,22.4,22.4,20.81,20.81,17.8,17.8,17.8,17.8,17.7,17.7,15.68,15.68,15.68,15.68,15.68,15.68,15.68,15.68,15.68,15.68,15.68,15.68,15.68,15.68,15.68,15.68,15.68,15.68,15.68,14.38,14.38,14.38,14.38,14.38,14.38,14.38,13.8,13.73,13.3,12.22,12.22,12.17,12.16,11.99
aggregation,MVO,SSE,7,10.16,11.86,0.9,0.11,0.87,0.81,0.84,0.83,0.74,0.25,11.8,0.28,0.74,0.97,0.75,0.05,28.09,28.09,28.09,28.09,24.81,24.81,24.81,24.81,24.81,18.79,18.79,18.79,18.79,18.79,18.79,18.73,18.73,16.45,16.38,16.38,16.38,16.38,16.38,15.62,15.62,15.62,15.48,14.85,14.24,14.24,14.24,14.12,13.1,13.1,13.1,13.1,12.94,12.94,12.53,12.52,12.5,12.44,12.13,12.13,12.07,12.03,11.96,11.91,11.88,11.86
aggregation,MVO,SSE,7,10.48,11.15,0.91,0.11,0.87,0.79,0.83,0.83,0.7,0.05,11.07,0.28,0.7,0.97,0.78,0.05,16.06,16.06,16.06,16.06,16.06,16.06,16.06,16.06,16.06,16.06,16.06,16.06,16.06,16.06,16.06,16.06,16.06,16.06,16.06,16.06,16.06,16.06,15.64,13.92,13.92,13.92,13.92,13.92,13.92,13.36,13.36,13.36,13.36,13.36,13.07,13.05,12.9,12.9,12.34,11.68,11.4,11.38,11.38,11.37,11.37,11.34,11.25,11.19,11.16,11.15
aggregation,MVO,SSE,7,9.96,11.8,0.91,0.1,0.88,0.79,0.84,0.83,0.68,0.2,11.53,0.28,0.68,0.97,0.77,0.05,26.59,26.59,26.59,26.59,23.34,20.39,20.39,20.39,20.39,20.39,20.39,20.39,20.39,20.39,20.34,20.0,18.37,18.37,18.37,18.37,18.37,18.37,18.37,18.37,18.37,17.45,17.45,15.61,15.61,15.61,15.61,15.34,14.76,14.54,14.48,13.81,13.5,13.5,13.1,12.78,12.59,12.59,12.39,12.3,12.18,12.15,12.08,11.9,11.82,11.8
aggregation,PSO,SSE,7,9.95,13.65,0.85,0.19,0.78,0.73,0.75,0.75,0.62,0.13,13.37,0.3,0.62,0.97,0.9,0.06,23.2,23.2,23.2,23.2,23.2,21.59,18.07,18.07,18.07,18.07,18.07,17.99,17.99,17.99,17.99,17.03,17.03,17.03,17.03,17.03,17.03,17.03,16.47,16.23,16.23,16.23,16.23,16.23,16.23,16.23,16.23,16.23,16.03,16.03,15.06,15.06,14.82,14.7,14.5,14.5,14.24,14.2,14.2,13.89,13.89,13.87,13.82,13.78,13.67,13.65
aggregation,PSO,SSE,7,10.29,12.67,0.9,0.11,0.87,0.81,0.84,0.84,0.74,0.12,11.98,0.28,0.74,0.97,0.8,0.05,22.11,22.11,22.11,22.11,21.39,21.39,19.59,19.59,19.59,19.59,19.59,19.59,19.59,19.59,17.73,17.73,17.13,17.13,17.13,17.13,17.13,17.13,17.13,17.13,16.91,16.01,16.01,16.01,16.01,15.78,15.78,15.78,15.78,15.78,14.92,14.92,14.62,14.62,13.65,13.65,13.39,13.31,13.07,13.01,12.9,12.8,12.72,12.71,12.7,12.67
aggregation,PSO,SSE,7,10.15,13.53,0.88,0.11,0.87,0.79,0.82,0.82,0.73,0.18,11.33,0.27,0.73,0.98,0.75,0.05,28.31,24.08,21.48,21.48,21.48,21.48,16.69,16.69,16.69,16.69,16.69,16.69,16.69,16.69,16.69,16.69,16.64,16.64,16.64,16.64,16.64,16.64,16.64,16.64,16.07,16.07,16.07,15.72,14.98,14.98,14.72,14.72,14.72,14.72,14.72,14.39,14.34,14.15,14.07,13.97,13.97,13.82,13.82,13.75,13.66,13.66,13.66,13.66,13.55,13.53
