,Optimizer,Dataset,Run_Time
0,SSA,Iris,5.780355800000001
1,SSA,aggregation,6.0763625999999995
2,SSA,banknote,5.9767774
3,SSA,balance,5.3101834
4,SSA,ecoli,5.7323804
5,SSA,smiley,5.1660197
6,GWO,Iris,3.5897093999999967
7,GWO,aggregation,4.5177321999999975
8,GWO,banknote,4.391552499999996
9,GWO,balance,4.015084100000003
10,GWO,ecoli,4.196993200000001
11,GWO,smiley,3.8034867999999946
12,MVO,Iris,4.0237342
13,MVO,aggregation,4.998007999999999
14,MVO,banknote,4.735477200000005
15,MVO,balance,4.512462900000003
16,MVO,ecoli,6.174321800000001
17,MVO,smiley,4.15912130000001
18,PSO,Iris,3.7516688999999985
19,PSO,aggregation,4.69223860000001
20,PSO,banknote,4.67086110000001
21,PSO,balance,4.399478900000005
22,PSO,ecoli,4.420559099999991
23,PSO,smiley,4.1823373
